WEEK,LGCL_DM,START,END,DIFF,DIFF_MINS,DIFF_SEC,TOTAL_JOB,CLIENT,DIM,COMP,TOTAL
2077,711_7MX_M,  Thu Jun 27 19:23:42 CDT 2019,  Thu Jun 27 19:26:19 CDT 2019,00:02:37,2,157,0,0,0,0,0
2079,711_7MX_M,  Thu Jul 11 14:59:19 CDT 2019,  Thu Jul 11 15:02:40 CDT 2019,00:03:21,3,201,0,0,0,0,0
2033,ABBWS_M, Tue Aug 21 13:03:12 CDT 2018, Tue Aug 21 13:11:16 CDT 2018,00:08:04,8,484,0,0,0,0,0
2034,ABBWS_M, Fri Aug 31 20:03:30 CDT 2018, Fri Aug 31 20:11:05 CDT 2018,00:07:35,7,455,0,0,0,0,0
2035,ABBWS_M, Wed Sep  5 11:15:52 CDT 2018, Wed Sep  5 11:23:54 CDT 2018,00:08:02,8,482,0,0,0,0,0
2036,ABBWS_M, Wed Sep 12 19:27:01 CDT 2018, Wed Sep 12 19:50:54 CDT 2018,00:23:53,23,1433,0,0,0,0,0
2037,ABBWS_M, Thu Sep 20 12:42:12 CDT 2018, Thu Sep 20 12:51:42 CDT 2018,00:09:30,9,570,0,0,0,0,0
2038,ABBWS_M, Mon Sep 24 14:01:27 CDT 2018, Mon Sep 24 14:12:51 CDT 2018,00:11:24,11,684,0,0,0,0,0
2039,ABBWS_M, Wed Oct  3 04:44:11 CDT 2018, Wed Oct  3 04:58:43 CDT 2018,00:14:32,14,872,0,0,0,0,0
2040,ABBWS_M, Mon Oct  8 22:07:42 CDT 2018, Mon Oct  8 22:23:47 CDT 2018,00:16:05,16,965,0,0,0,0,0
2041,ABBWS_M, Mon Oct 15 20:24:14 CDT 2018, Mon Oct 15 20:37:50 CDT 2018,00:13:36,13,816,0,0,0,0,0
2042,ABBWS_M, Tue Oct 23 01:48:48 CDT 2018, Tue Oct 23 02:00:29 CDT 2018,00:11:41,11,701,0,0,0,0,0
2043,ABBWS_M, Tue Oct 30 21:06:23 CDT 2018, Tue Oct 30 21:18:09 CDT 2018,00:11:46,11,706,0,0,0,0,0
2044,ABBWS_M, Tue Nov  6 16:06:01 CST 2018, Tue Nov  6 16:27:12 CST 2018,00:21:11,21,1271,0,0,0,0,0
2045,ABBWS_M, Tue Nov 13 09:21:59 CST 2018, Tue Nov 13 09:36:49 CST 2018,00:14:50,14,890,0,0,0,0,0
2046,ABBWS_M,  Tue Nov 20 01:17:13 CST 2018,  Tue Nov 20 01:32:33 CST 2018,00:15:20,15,920,0,0,0,0,0
2047,ABBWS_M,  Tue Nov 27 07:57:11 CST 2018,  Tue Nov 27 08:08:10 CST 2018,00:10:59,10,659,0,0,0,0,0
2048,ABBWS_M,  Tue Dec  4 11:41:18 CST 2018,  Tue Dec  4 12:12:23 CST 2018,00:31:05,31,1865,0,0,0,0,0
2049,ABBWS_M,  Tue Dec 11 05:56:51 CST 2018,  Tue Dec 11 06:04:55 CST 2018,00:08:04,8,484,0,0,0,0,0
2050,ABBWS_M,  Mon Dec 17 14:49:43 CST 2018,  Mon Dec 17 14:57:39 CST 2018,00:07:56,7,476,0,0,0,0,0
2051,ABBWS_M,  Mon Dec 24 18:12:23 CST 2018,  Mon Dec 24 18:19:30 CST 2018,00:07:07,7,427,0,0,0,0,0
2052,ABBWS_M,  Mon Dec 31 15:41:07 CST 2018,  Mon Dec 31 15:52:30 CST 2018,00:11:23,11,683,0,0,0,0,0
2053,ABBWS_M,  Tue Jan  8 04:40:25 CST 2019,  Tue Jan  8 04:49:41 CST 2019,00:09:16,9,556,0,0,0,0,0
2054,ABBWS_M,  Tue Jan 15 00:34:20 CST 2019,  Tue Jan 15 00:43:03 CST 2019,00:08:43,8,523,0,0,0,0,0
2055,ABBWS_M,  Mon Jan 21 07:56:46 CST 2019,  Mon Jan 21 08:13:31 CST 2019,00:16:45,16,1005,0,0,0,0,0
2056,ABBWS_M,  Mon Jan 28 06:10:41 CST 2019,  Mon Jan 28 06:23:55 CST 2019,00:13:14,13,794,0,0,0,0,0
2057,ABBWS_M,  Mon Feb  4 09:02:59 CST 2019,  Mon Feb  4 09:09:06 CST 2019,00:06:07,6,367,0,0,0,0,0
2058,ABBWS_M,  Mon Feb 11 07:13:50 CST 2019,  Mon Feb 11 07:20:57 CST 2019,00:07:07,7,427,0,0,0,0,0
2059,ABBWS_M,  Mon Feb 18 05:45:48 CST 2019,  Mon Feb 18 05:51:20 CST 2019,00:05:32,5,332,0,0,0,0,0
2060,ABBWS_M,  Mon Feb 25 08:36:09 CST 2019,  Mon Feb 25 08:42:27 CST 2019,00:06:18,6,378,0,0,0,0,0
2061,ABBWS_M,  Mon Mar  4 04:46:04 CST 2019,  Mon Mar  4 04:50:54 CST 2019,00:04:50,4,290,0,0,0,0,0
2062,ABBWS_M,  Mon Mar 11 10:37:36 CDT 2019,  Mon Mar 11 10:43:48 CDT 2019,00:06:12,6,372,0,0,0,0,0
2063,ABBWS_M,  Mon Mar 18 04:33:31 CDT 2019,  Mon Mar 18 04:39:01 CDT 2019,00:05:30,5,330,0,0,0,0,0
2064,ABBWS_M,  Mon Mar 25 04:55:44 CDT 2019,  Mon Mar 25 05:02:31 CDT 2019,00:06:47,6,407,0,0,0,0,0
2065,ABBWS_M,  Mon Apr  1 08:09:46 CDT 2019,  Mon Apr  1 08:15:13 CDT 2019,00:05:27,5,327,0,0,0,0,0
